
Each sample represents 0.02 seconds.
Total run time: 30.9999999999994 seconds.

Total seconds: time spent in function and callees.
Self seconds: time spent in function alone.

   %       total       %       self
 total    seconds     self    seconds    name
100.00     31.00      0.00      0.00     "NucleotideSequence"
100.00     31.00     86.58     26.84     "Sequence"
  6.52      2.02      0.06      0.02     "setAlphabets.Sequence"
  6.52      2.02      0.00      0.00     "setAlphabets"
  6.45      2.00      0.19      0.06     "setAlphabet"
  5.68      1.76      0.19      0.06     "setAlphabet.Site"
  4.45      1.38      0.97      0.30     "$"
  4.13      1.28      0.13      0.04     ".flagSeqCumulativeRates"
  4.00      1.24      0.00      0.00     ".flagSeqCumulativeRates.Site"
  3.87      1.20      3.16      0.98     "clone.PSRoot"
  3.48      1.08      1.55      0.48     "$.Object"
  3.42      1.06      1.16      0.36     "$<-"
  2.26      0.70      1.03      0.32     "$<-.Object"
  2.19      0.68      0.13      0.04     "is.Sequence"
  1.81      0.56      0.06      0.02     ".flagCumulativeRates"
  1.16      0.36      0.13      0.04     "is.Sequence.default"
  0.97      0.30      0.97      0.30     "assign"
  0.90      0.28      0.19      0.06     ".flagCumulativeRates.Sequence"
  0.84      0.26      0.00      0.00     "flagTotalRate"
  0.84      0.26      0.19      0.06     "flagTotalRate.Site"
  0.65      0.20      0.65      0.20     "paste"
  0.65      0.20      0.65      0.20     "exists"
  0.52      0.16      0.52      0.16     "get"
  0.45      0.14      0.32      0.10     "substr"
  0.45      0.14      0.45      0.14     "identical"
  0.32      0.10      0.13      0.04     "is.PSRoot"
  0.19      0.06      0.13      0.04     "is.PSRoot.default"
  0.13      0.04      0.13      0.04     "as.integer"
  0.06      0.02      0.00      0.00     "getStaticInstance.Object"
  0.06      0.02      0.00      0.00     "extend.Object"
  0.06      0.02      0.06      0.02     "attr"
  0.06      0.02      0.06      0.02     "inherits"
  0.06      0.02      0.06      0.02     "attr<-"
  0.06      0.02      0.00      0.00     "getStaticInstance"
  0.06      0.02      0.06      0.02     "=="
  0.06      0.02      0.00      0.00     "extend"
  0.06      0.02      0.00      0.00     "constructor"
  0.06      0.02      0.06      0.02     "!"
  0.06      0.02      0.00      0.00     "Site"
  0.06      0.02      0.00      0.00     "getStaticInstance.Class"

   %       self        %       total
 self     seconds    total    seconds    name
 86.58     26.84    100.00     31.00     "Sequence"
  3.16      0.98      3.87      1.20     "clone.PSRoot"
  1.55      0.48      3.48      1.08     "$.Object"
  1.16      0.36      3.42      1.06     "$<-"
  1.03      0.32      2.26      0.70     "$<-.Object"
  0.97      0.30      0.97      0.30     "assign"
  0.97      0.30      4.45      1.38     "$"
  0.65      0.20      0.65      0.20     "paste"
  0.65      0.20      0.65      0.20     "exists"
  0.52      0.16      0.52      0.16     "get"
  0.45      0.14      0.45      0.14     "identical"
  0.32      0.10      0.45      0.14     "substr"
  0.19      0.06      5.68      1.76     "setAlphabet.Site"
  0.19      0.06      0.84      0.26     "flagTotalRate.Site"
  0.19      0.06      6.45      2.00     "setAlphabet"
  0.19      0.06      0.90      0.28     ".flagCumulativeRates.Sequence"
  0.13      0.04      1.16      0.36     "is.Sequence.default"
  0.13      0.04      0.13      0.04     "as.integer"
  0.13      0.04      0.32      0.10     "is.PSRoot"
  0.13      0.04      4.13      1.28     ".flagSeqCumulativeRates"
  0.13      0.04      0.19      0.06     "is.PSRoot.default"
  0.13      0.04      2.19      0.68     "is.Sequence"
  0.06      0.02      0.06      0.02     "attr<-"
  0.06      0.02      1.81      0.56     ".flagCumulativeRates"
  0.06      0.02      0.06      0.02     "=="
  0.06      0.02      6.52      2.02     "setAlphabets.Sequence"
  0.06      0.02      0.06      0.02     "!"
  0.06      0.02      0.06      0.02     "attr"
  0.06      0.02      0.06      0.02     "inherits"
