
Each sample represents 0.02 seconds.
Total run time: 7.55999999999993 seconds.

Total seconds: time spent in function and callees.
Self seconds: time spent in function alone.

   %       total       %       self
 total    seconds     self    seconds    name
100.00      7.56      1.32      0.10     "<Anonymous>"
100.00      7.56      4.76      0.36     "$<-"
100.00      7.56      6.08      0.46     "$<-.Object"
 99.47      7.52      0.53      0.04     "setProcesses"
 96.30      7.28      0.79      0.06     "setProcesses.Site"
 85.19      6.44      1.85      0.14     "lapply"
 71.96      5.44      0.26      0.02     "attachProcess"
 71.96      5.44      0.00      0.00     "FUN"
 71.69      5.42      2.12      0.16     "attachProcess.Site"
 55.56      4.20      7.94      0.60     "$"
 50.26      3.80     15.08      1.14     "$.Object"
 18.78      1.42      2.12      0.16     "getProcesses"
 16.67      1.26      0.53      0.04     "getProcesses.Site"
 15.61      1.18      0.53      0.04     ".flagSeqCumulativeRates"
 15.08      1.14      0.53      0.04     ".flagSeqCumulativeRates.Site"
 13.23      1.00      0.26      0.02     "isAttached"
 12.96      0.98      0.53      0.04     "isAttached.Site"
 12.17      0.92      1.32      0.10     "is.vector"
  9.26      0.70      8.99      0.68     "exists"
  8.20      0.62      1.59      0.12     "is.Sequence"
  7.67      0.58      7.41      0.56     "identical"
  7.14      0.54      6.08      0.46     "paste"
  6.61      0.50      0.00      0.00     "method"
  6.35      0.48      0.26      0.02     ".flagCumulativeRates"
  6.08      0.46      1.59      0.12     "is.Process"
  4.50      0.34      0.26      0.02     "is.Process.default"
  4.23      0.32      0.00      0.00     "is.Sequence.default"
  3.97      0.30      3.70      0.28     "get"
  3.44      0.26      3.44      0.26     "regexpr"
  3.17      0.24      0.26      0.02     ".flagCumulativeRates.Sequence"
  2.91      0.22      1.85      0.14     "as.list"
  2.38      0.18      0.26      0.02     "flagTotalRate"
  2.12      0.16      1.85      0.14     "is.PSRoot"
  2.12      0.16      0.79      0.06     "flagTotalRate.Site"
  1.85      0.14      1.32      0.10     "substr"
  1.59      0.12      1.32      0.10     "which"
  1.59      0.12      1.59      0.12     "assign"
  1.32      0.10      1.32      0.10     "toupper"
  1.32      0.10      1.32      0.10     "list"
  1.06      0.08      0.53      0.04     "as.list.default"
  1.06      0.08      1.06      0.08     "attr<-"
  1.06      0.08      1.06      0.08     "is.null"
  1.06      0.08      1.06      0.08     "match.fun"
  0.79      0.06      0.79      0.06     "attr"
  0.79      0.06      0.79      0.06     "!"
  0.53      0.04      0.53      0.04     "typeof"
  0.53      0.04      0.53      0.04     "as.environment"
  0.53      0.04      0.53      0.04     "=="
  0.53      0.04      0.53      0.04     "substr<-"
  0.26      0.02      0.00      0.00     "is.PSRoot.default"
  0.26      0.02      0.26      0.02     "inherits"
  0.26      0.02      0.26      0.02     "seq_along"
  0.26      0.02      0.26      0.02     "as.integer"

   %       self        %       total
 self     seconds    total    seconds    name
 15.08      1.14     50.26      3.80     "$.Object"
  8.99      0.68      9.26      0.70     "exists"
  7.94      0.60     55.56      4.20     "$"
  7.41      0.56      7.67      0.58     "identical"
  6.08      0.46      7.14      0.54     "paste"
  6.08      0.46    100.00      7.56     "$<-.Object"
  4.76      0.36    100.00      7.56     "$<-"
  3.70      0.28      3.97      0.30     "get"
  3.44      0.26      3.44      0.26     "regexpr"
  2.12      0.16     18.78      1.42     "getProcesses"
  2.12      0.16     71.69      5.42     "attachProcess.Site"
  1.85      0.14      2.12      0.16     "is.PSRoot"
  1.85      0.14      2.91      0.22     "as.list"
  1.85      0.14     85.19      6.44     "lapply"
  1.59      0.12      8.20      0.62     "is.Sequence"
  1.59      0.12      1.59      0.12     "assign"
  1.59      0.12      6.08      0.46     "is.Process"
  1.32      0.10     12.17      0.92     "is.vector"
  1.32      0.10      1.32      0.10     "toupper"
  1.32      0.10    100.00      7.56     "<Anonymous>"
  1.32      0.10      1.59      0.12     "which"
  1.32      0.10      1.85      0.14     "substr"
  1.32      0.10      1.32      0.10     "list"
  1.06      0.08      1.06      0.08     "attr<-"
  1.06      0.08      1.06      0.08     "is.null"
  1.06      0.08      1.06      0.08     "match.fun"
  0.79      0.06      0.79      0.06     "attr"
  0.79      0.06     96.30      7.28     "setProcesses.Site"
  0.79      0.06      2.12      0.16     "flagTotalRate.Site"
  0.79      0.06      0.79      0.06     "!"
  0.53      0.04     16.67      1.26     "getProcesses.Site"
  0.53      0.04      0.53      0.04     "typeof"
  0.53      0.04      0.53      0.04     "as.environment"
  0.53      0.04     99.47      7.52     "setProcesses"
  0.53      0.04      1.06      0.08     "as.list.default"
  0.53      0.04      0.53      0.04     "=="
  0.53      0.04     15.61      1.18     ".flagSeqCumulativeRates"
  0.53      0.04     15.08      1.14     ".flagSeqCumulativeRates.Site"
  0.53      0.04     12.96      0.98     "isAttached.Site"
  0.53      0.04      0.53      0.04     "substr<-"
  0.26      0.02      2.38      0.18     "flagTotalRate"
  0.26      0.02     71.96      5.44     "attachProcess"
  0.26      0.02     13.23      1.00     "isAttached"
  0.26      0.02      3.17      0.24     ".flagCumulativeRates.Sequence"
  0.26      0.02      0.26      0.02     "inherits"
  0.26      0.02      0.26      0.02     "seq_along"
  0.26      0.02      6.35      0.48     ".flagCumulativeRates"
  0.26      0.02      0.26      0.02     "as.integer"
  0.26      0.02      4.50      0.34     "is.Process.default"
