
Each sample represents 0.02 seconds.
Total run time: 2.28 seconds.

Total seconds: time spent in function and callees.
Self seconds: time spent in function alone.

   %       total       %       self
 total    seconds     self    seconds    name
100.00      2.28      0.88      0.02     "sampleStates.Sequence"
100.00      2.28      0.00      0.00     "sampleStates"
 78.07      1.78     13.16      0.30     "$"
 65.79      1.50     19.30      0.44     "$.Object"
 45.61      1.04      0.88      0.02     "sampleState"
 44.74      1.02      0.88      0.02     "sampleState.GeneralSubstitution"
 19.30      0.44      2.63      0.06     "$<-"
 18.42      0.42      4.39      0.10     "$<-.Object"
 18.42      0.42      0.00      0.00     "lapply"
 14.04      0.32      0.00      0.00     "method"
 14.04      0.32      0.00      0.00     "<Anonymous>"
 13.16      0.30      0.88      0.02     "sample"
 13.16      0.30      0.88      0.02     "FUN"
 11.40      0.26      0.00      0.00     ".flagSeqCumulativeRates"
 11.40      0.26      0.00      0.00     ".flagSeqCumulativeRates.Site"
 10.53      0.24      8.77      0.20     "paste"
 10.53      0.24      1.75      0.04     "getParameterAtSite"
  8.77      0.20      0.00      0.00     "getParameterAtSite.Process"
  7.89      0.18      7.89      0.18     "exists"
  7.02      0.16      7.02      0.16     "get"
  7.02      0.16      0.88      0.02     "is.GeneralSubstitution"
  7.02      0.16      0.88      0.02     "is.Sequence"
  7.02      0.16      6.14      0.14     "identical"
  6.14      0.14      0.00      0.00     "is.GeneralSubstitution.default"
  5.26      0.12      0.00      0.00     "is.Sequence.default"
  5.26      0.12      0.00      0.00     "is.vector"
  4.39      0.10      0.88      0.02     ".flagCumulativeRates"
  3.51      0.08      2.63      0.06     "which"
  3.51      0.08      0.00      0.00     "getId.Process"
  3.51      0.08      0.00      0.00     "getId"
  2.63      0.06      2.63      0.06     "is.null"
  1.75      0.04      0.00      0.00     "flagTotalRate"
  1.75      0.04      1.75      0.04     "is.PSRoot"
  1.75      0.04      1.75      0.04     ".flagCumulativeRates.Sequence"
  1.75      0.04      1.75      0.04     ".checkTriplett"
  1.75      0.04      1.75      0.04     "attr<-"
  1.75      0.04      1.75      0.04     "=="
  1.75      0.04      0.00      0.00     "flagTotalRate.Site"
  1.75      0.04      1.75      0.04     "list"
  1.75      0.04      1.75      0.04     "regexpr"
  0.88      0.02      0.88      0.02     "toupper"
  0.88      0.02      0.88      0.02     "attr"
  0.88      0.02      0.88      0.02     "substr"
  0.88      0.02      0.88      0.02     "as.integer"
  0.88      0.02      0.88      0.02     "&"
  0.88      0.02      0.00      0.00     "substr<-"

   %       self        %       total
 self     seconds    total    seconds    name
 19.30      0.44     65.79      1.50     "$.Object"
 13.16      0.30     78.07      1.78     "$"
  8.77      0.20     10.53      0.24     "paste"
  7.89      0.18      7.89      0.18     "exists"
  7.02      0.16      7.02      0.16     "get"
  6.14      0.14      7.02      0.16     "identical"
  4.39      0.10     18.42      0.42     "$<-.Object"
  2.63      0.06      2.63      0.06     "is.null"
  2.63      0.06      3.51      0.08     "which"
  2.63      0.06     19.30      0.44     "$<-"
  1.75      0.04      1.75      0.04     ".checkTriplett"
  1.75      0.04      1.75      0.04     "attr<-"
  1.75      0.04      1.75      0.04     "is.PSRoot"
  1.75      0.04      1.75      0.04     "=="
  1.75      0.04      1.75      0.04     "list"
  1.75      0.04      1.75      0.04     "regexpr"
  1.75      0.04      1.75      0.04     ".flagCumulativeRates.Sequence"
  1.75      0.04     10.53      0.24     "getParameterAtSite"
  0.88      0.02     13.16      0.30     "sample"
  0.88      0.02    100.00      2.28     "sampleStates.Sequence"
  0.88      0.02      4.39      0.10     ".flagCumulativeRates"
  0.88      0.02      0.88      0.02     "as.integer"
  0.88      0.02      0.88      0.02     "toupper"
  0.88      0.02      0.88      0.02     "&"
  0.88      0.02      7.02      0.16     "is.GeneralSubstitution"
  0.88      0.02     44.74      1.02     "sampleState.GeneralSubstitution"
  0.88      0.02      0.88      0.02     "attr"
  0.88      0.02      7.02      0.16     "is.Sequence"
  0.88      0.02     13.16      0.30     "FUN"
  0.88      0.02      0.88      0.02     "substr"
  0.88      0.02     45.61      1.04     "sampleState"
