
Each sample represents 0.02 seconds.
Total run time: 1.24 seconds.

Total seconds: time spent in function and callees.
Self seconds: time spent in function alone.

   %       total       %       self
 total    seconds     self    seconds    name
100.00      1.24      0.00      0.00     "plusGamma.Sequence"
100.00      1.24      1.61      0.02     "setParameterAtSite"
100.00      1.24      0.00      0.00     "plusGamma"
100.00      1.24      0.00      0.00     "lapply"
100.00      1.24      0.00      0.00     "setParameterAtSites.Sequence"
100.00      1.24      0.00      0.00     "FUN"
100.00      1.24      0.00      0.00     "setParameterAtSites"
 98.39      1.22      3.23      0.04     "setParameterAtSite.Process"
 67.74      0.84      9.68      0.12     "$"
 62.90      0.78     17.74      0.22     "$.Object"
 22.58      0.28      1.61      0.02     "method"
 20.97      0.26      0.00      0.00     ".flagSeqCumulativeRates"
 20.97      0.26      1.61      0.02     ".flagSeqCumulativeRates.Site"
 14.52      0.18      1.61      0.02     "is.Sequence"
  9.68      0.12      3.23      0.04     "$<-"
  8.06      0.10      0.00      0.00     "is.Sequence.default"
  8.06      0.10      3.23      0.04     "flagTotalRate"
  8.06      0.10      6.45      0.08     "identical"
  6.45      0.08      1.61      0.02     "intersect"
  6.45      0.08      3.23      0.04     "$<-.Object"
  6.45      0.08      4.84      0.06     "exists"
  4.84      0.06      4.84      0.06     "get"
  4.84      0.06      4.84      0.06     "paste"
  4.84      0.06      3.23      0.04     "which"
  4.84      0.06      4.84      0.06     "substr"
  4.84      0.06      1.61      0.02     "unique"
  4.84      0.06      0.00      0.00     ".flagCumulativeRates"
  4.84      0.06      0.00      0.00     "flagTotalRate.Site"
  3.23      0.04      3.23      0.04     "is.PSRoot"
  3.23      0.04      0.00      0.00     ".flagCumulativeRates.Sequence"
  3.23      0.04      3.23      0.04     "attr"
  3.23      0.04      1.61      0.02     "unique.default"
  3.23      0.04      3.23      0.04     "substr<-"
  1.61      0.02      1.61      0.02     "is.na"
  1.61      0.02      1.61      0.02     "as.environment"
  1.61      0.02      0.00      0.00     ".checkTriplett.Process"
  1.61      0.02      0.00      0.00     ".checkTriplett"
  1.61      0.02      1.61      0.02     "is.logical"
  1.61      0.02      1.61      0.02     "is.null"
  1.61      0.02      1.61      0.02     "assign"
  1.61      0.02      1.61      0.02     "regexpr"

   %       self        %       total
 self     seconds    total    seconds    name
 17.74      0.22     62.90      0.78     "$.Object"
  9.68      0.12     67.74      0.84     "$"
  6.45      0.08      8.06      0.10     "identical"
  4.84      0.06      4.84      0.06     "get"
  4.84      0.06      4.84      0.06     "paste"
  4.84      0.06      4.84      0.06     "substr"
  4.84      0.06      6.45      0.08     "exists"
  3.23      0.04      8.06      0.10     "flagTotalRate"
  3.23      0.04      3.23      0.04     "is.PSRoot"
  3.23      0.04      4.84      0.06     "which"
  3.23      0.04      9.68      0.12     "$<-"
  3.23      0.04      3.23      0.04     "attr"
  3.23      0.04      3.23      0.04     "substr<-"
  3.23      0.04     98.39      1.22     "setParameterAtSite.Process"
  3.23      0.04      6.45      0.08     "$<-.Object"
  1.61      0.02      1.61      0.02     "is.logical"
  1.61      0.02     22.58      0.28     "method"
  1.61      0.02      1.61      0.02     "is.null"
  1.61      0.02    100.00      1.24     "setParameterAtSite"
  1.61      0.02      1.61      0.02     "assign"
  1.61      0.02     20.97      0.26     ".flagSeqCumulativeRates.Site"
  1.61      0.02      1.61      0.02     "is.na"
  1.61      0.02      1.61      0.02     "as.environment"
  1.61      0.02      1.61      0.02     "regexpr"
  1.61      0.02      6.45      0.08     "intersect"
  1.61      0.02      3.23      0.04     "unique.default"
  1.61      0.02     14.52      0.18     "is.Sequence"
  1.61      0.02      4.84      0.06     "unique"
