
Each sample represents 0.02 seconds.
Total run time: 143.64 seconds.

Total seconds: time spent in function and callees.
Self seconds: time spent in function alone.

   %       total       %       self
 total    seconds     self    seconds    name
100.00    143.64     11.45     16.44     "$.Object"
100.00    143.64      0.43      0.62     "method"
100.00    143.64      0.00      0.00     ".recalculateCumulativeRates"
100.00    143.64      0.15      0.22     ".recalculateCumulativeRates.Sequence"
100.00    143.64      5.58      8.02     "$"
 98.50    141.48      0.00      0.00     ".recalculateTotalRate"
 98.50    141.48      0.10      0.14     ".recalculateTotalRate.Site"
 94.99    136.44      0.21      0.30     "getEventsAtSite"
 42.11     60.48      0.25      0.36     "getEventsAtSite.GeneralDeletor"
 40.82     58.64      0.35      0.50     "getEventsAtSite.GeneralInsertor"
 40.10     57.60      1.91      2.74     "$<-"
 39.82     57.20      0.74      1.06     "equals"
 39.08     56.14      0.32      0.46     "equals.Object"
 38.69     55.58      0.93      1.34     "hashCode"
 38.53     55.34      3.51      5.04     "$<-.Object"
 37.76     54.24      0.10      0.14     "hashCode.Object"
 37.66     54.10      0.93      1.34     "getInternalAddress"
 37.64     54.06      0.11      0.16     "getParameterAtSite"
 37.52     53.90      0.26      0.38     "getParameterAtSite.Process"
 36.73     52.76      0.38      0.54     "getInternalAddress.Object"
 34.98     50.24      0.15      0.22     ".checkTriplett"
 34.82     50.02      0.10      0.14     ".checkTriplett.Process"
 31.84     45.74      0.10      0.14     "isAttached"
 31.75     45.60      0.18      0.26     "isAttached.Site"
 31.47     45.20      0.11      0.16     "lapply"
 31.24     44.88      0.72      1.04     "<Anonymous>"
 30.74     44.16      0.25      0.36     "FUN"
 30.10     43.24      0.46      0.66     "getName"
 29.63     42.56      0.64      0.92     "getName.environment"
 26.01     37.36      1.35      1.94     "capture.output"
 14.16     20.34      1.17      1.68     "=="
 13.31     19.12      2.31      3.32     "deparse"
 13.30     19.10      0.17      0.24     "!="
 13.13     18.86      0.01      0.02     "!=.Alphabet"
 13.06     18.76      0.13      0.18     "==.Alphabet"
 12.87     18.48      1.62      2.32     "match.arg"
 12.61     18.12      1.68      2.42     "match"
 11.85     17.02      0.71      1.02     "getEventsAtSite.GeneralSubstitution"
 11.25     16.16      0.64      0.92     "is.factor"
 11.03     15.84      1.55      2.22     "eval"
 10.93     15.70      3.12      4.48     "inherits"
  9.64     13.84      0.85      1.22     "textConnection"
  8.99     12.92      0.79      1.14     "sink"
  6.99     10.04      0.19      0.28     ".checkWriteProtection"
  6.79      9.76      0.04      0.06     ".checkWriteProtection.Event"
  5.82      8.36      1.49      2.14     ".deparseOpts"
  5.39      7.74      0.29      0.42     "hexStringToDouble"
  5.15      7.40      0.67      0.96     "%in%"
  5.08      7.30      0.49      0.70     "switch"
  5.01      7.20      0.33      0.48     "clone"
  4.86      6.98      4.68      6.72     "exists"
  4.30      6.18      3.72      5.34     "paste"
  3.95      5.68      3.87      5.56     "get"
  3.83      5.50      1.48      2.12     "clone.Object"
  3.73      5.36      0.95      1.36     "mode"
  3.69      5.30      0.53      0.76     "unique"
  3.49      5.02      0.04      0.06     "intersect"
  3.15      4.52      2.97      4.26     "identical"
  3.12      4.48      3.10      4.46     "gsub"
  2.80      4.02      0.99      1.42     "rev"
  2.62      3.76      0.28      0.40     "as.vector"
  2.33      3.34      2.28      3.28     "pmatch"
  2.33      3.34      0.11      0.16     "hasSiteSpecificParameter"
  2.31      3.32      0.32      0.46     "is.Site"
  2.21      3.18      0.07      0.10     "hasSiteSpecificParameter.Process"
  2.03      2.92      0.03      0.04     "evalVis"
  2.01      2.88      0.29      0.42     "withVisible"
  1.85      2.66      0.17      0.24     "is.Site.default"
  1.66      2.38      0.07      0.10     "hasSymbols"
  1.60      2.30      1.60      2.30     "assign"
  1.50      2.16      0.00      0.00     "getRate"
  1.50      2.16      0.13      0.18     "getRate.Event"
  1.48      2.12      0.32      0.46     "getId"
  1.42      2.04      1.36      1.96     "print.default"
  1.41      2.02      0.03      0.04     "getProcesses"
  1.38      1.98      0.36      0.52     "unlist"
  1.38      1.98      0.00      0.00     "getProcesses.Site"
  1.36      1.96      1.36      1.96     "regexpr"
  1.36      1.96      0.82      1.18     "seq"
  1.31      1.88      1.06      1.52     "which"
  1.29      1.86      0.17      0.24     "is.Process"
  1.28      1.84      0.61      0.88     "formals"
  1.16      1.66      0.04      0.06     "getId.Process"
  1.13      1.62      0.10      0.14     "is.Process.default"
  1.10      1.58      0.84      1.20     "substr"
  1.03      1.48      0.77      1.10     "close"
  1.02      1.46      0.61      0.88     "strsplit"
  0.95      1.36      0.07      0.10     "hasSymbols.Alphabet"
  0.92      1.32      0.81      1.16     "toupper"
  0.92      1.32      0.06      0.08     ".setHandler"
  0.89      1.28      0.89      1.28     "sum"
  0.86      1.24      0.08      0.12     ".setHandler.Event"
  0.85      1.22      0.29      0.42     "getFields"
  0.77      1.10      0.08      0.12     "getState"
  0.72      1.04      0.50      0.72     "is.PSRoot"
  0.68      0.98      0.06      0.08     "getState.Site"
  0.65      0.94      0.24      0.34     "getStaticInstance"
  0.64      0.92      0.38      0.54     "unique.default"
  0.63      0.90      0.28      0.40     "sys.function"
  0.58      0.84      0.58      0.84     "list"
  0.57      0.82      0.57      0.82     "attr"
  0.56      0.80      0.06      0.08     "is.vector"
  0.56      0.80      0.56      0.80     "-"
  0.56      0.80      0.56      0.80     "any"
  0.56      0.80      0.11      0.16     "getFields.Object"
  0.56      0.80      0.46      0.66     "substr<-"
  0.54      0.78      0.54      0.78     "is.null"
  0.54      0.78      0.54      0.78     "!"
  0.54      0.78      0.46      0.66     "seq.default"
  0.49      0.70      0.06      0.08     "is.element"
  0.47      0.68      0.47      0.68     "^"
  0.45      0.64      0.45      0.64     "ls"
  0.42      0.60      0.39      0.56     "is.na"
  0.35      0.50      0.35      0.50     ">"
  0.35      0.50      0.26      0.38     "rev.default"
  0.35      0.50      0.35      0.50     "environmentName"
  0.35      0.50      0.35      0.50     "sys.parent"
  0.33      0.48      0.33      0.48     "attr<-"
  0.33      0.48      0.33      0.48     "parent.frame"
  0.32      0.46      0.32      0.46     "as.integer"
  0.26      0.38      0.25      0.36     "close.connection"
  0.24      0.34      0.14      0.20     "enableVirtual"
  0.22      0.32      0.14      0.20     "is.PSRoot.default"
  0.22      0.32      0.11      0.16     "getStaticInstance.Class"
  0.18      0.26      0.18      0.26     "is.character"
  0.13      0.18      0.13      0.18     "as.environment"
  0.11      0.16      0.11      0.16     ":"
  0.10      0.14      0.08      0.12     "enableVirtual.PSRoot"
  0.10      0.14      0.10      0.14     "is.name"
  0.07      0.10      0.07      0.10     "is.list"
  0.06      0.08      0.06      0.08     "as.character"
  0.06      0.08      0.06      0.08     "seq_along"
  0.06      0.08      0.03      0.04     "new.env"
  0.06      0.08      0.06      0.08     "length"
  0.06      0.08      0.04      0.06     "match.fun"
  0.04      0.06      0.04      0.06     "class"
  0.04      0.06      0.04      0.06     "attributes"
  0.04      0.06      0.04      0.06     "&"
