
Each sample represents 0.02 seconds.
Total run time: 1653.81999999879 seconds.

Total seconds: time spent in function and callees.
Self seconds: time spent in function alone.

   %       total       %       self
 total    seconds     self    seconds    name
100.00   1653.82      0.00      0.00     "Simulate"
100.00   1653.82      0.00      0.00     "Simulate.PhyloSim"
 94.23   1558.42      0.00      0.00     ".evolveBranch.PhyloSim"
 94.23   1558.42      0.00      0.00     ".simulateEdge.PhyloSim"
 94.23   1558.42      0.00      0.00     ".evolveBranch"
 94.23   1558.42      0.00      0.00     ".simulateEdge"
 81.08   1340.86      0.11      1.80     ".GillespieDirect.PhyloSim"
 81.08   1340.86      0.00      0.00     ".GillespieDirect"
 43.48    719.16      0.48      7.94     "<Anonymous>"
 43.22    714.86      0.07      1.24     "getEventsAtSite"
 38.28    633.12      4.43     73.32     "$"
 35.12    580.78      9.13    151.04     "$.Object"
 32.63    539.60      0.00      0.02     "Perform"
 32.63    539.58      0.07      1.20     "Perform.Event"
 30.79    509.26      0.01      0.12     "getEvents"
 30.79    509.14      0.04      0.74     "getEvents.Site"
 29.43    486.66      0.51      8.46     "equals"
 28.76    475.62      0.14      2.38     "equals.Object"
 28.51    471.58      0.67     11.04     "hashCode"
 27.85    460.54      0.07      1.20     "hashCode.Object"
 27.77    459.34      0.57      9.36     "getInternalAddress"
 27.21    449.98      0.30      4.90     "getInternalAddress.Object"
 25.53    422.16      0.13      2.16     "lapply"
 24.88    411.50      0.22      3.70     "FUN"
 24.76    409.46      0.05      0.78     "isAttached"
 24.71    408.68      0.08      1.36     "isAttached.Site"
 23.35    386.12      0.09      1.52     "getParameterAtSite"
 23.26    384.60      0.18      2.90     "getParameterAtSite.Process"
 22.09    365.30      0.31      5.08     "getName"
 21.77    360.00      0.40      6.56     "getName.environment"
 21.54    356.16      0.08      1.26     ".checkTriplett"
 21.46    354.90      0.05      0.84     ".checkTriplett.Process"
 20.88    345.30      1.46     24.18     "$<-"
 19.62    324.48      2.68     44.30     "$<-.Object"
 18.86    311.96      1.03     16.98     "capture.output"
 18.15    300.14      0.21      3.48     "clone"
 17.63    291.58      0.14      2.24     "getEventsAtSite.GeneralInsertor"
 17.62    291.38      0.14      2.38     "getEventsAtSite.GeneralDeletor"
 16.66    275.48      0.16      2.64     "method"
 16.17    267.50      0.02      0.30     ".recalculateCumulativeRates"
 16.16    267.20      0.41      6.72     ".recalculateCumulativeRates.Sequence"
 14.91    246.64     12.23    202.34     "clone.Sequence"
 13.73    227.10      0.01      0.20     ".recalculateTotalRate"
 13.72    226.90      0.04      0.74     ".recalculateTotalRate.Site"
 12.83    212.20      0.04      0.64     "getBigRate"
 12.79    211.56      0.03      0.52     "getBigRate.Sequence"
 12.40    205.08      0.02      0.30     "rexp"
 10.02    165.74      2.11     34.92     "deparse"
  9.75    161.22      0.00      0.06     "insertSequence"
  9.74    161.16      3.86     63.90     "insertSequence.Sequence"
  9.57    158.20      1.01     16.64     "match.arg"
  9.38    155.14      1.48     24.46     "match"
  8.33    137.80      0.49      8.16     "is.factor"
  8.18    135.26      2.38     39.28     "inherits"
